Policy.Number,Age,Years.of.Driving.Experience,Number.of.Vehicles,Gender,Married,Vehicle.Age,Fuel Type,Losses
150023,24,5,1,M,Married,11,G,203
152720,31,10,1,F,Single,6,G,402
174207,56,37,1,M,Married,0,D,553
139895,52,31,1,F,Married,15,G,292
174407,20,3,1,M,Single,15,G,247
170545,29,8,1,M,Married,9,G,385
123164,36,19,1,F,Single,0,G,462
147118,67,49,1,F,Married,15,G,169
119842,69,48,1,M,Single,5,G,70
192628,16,0,1,F,Single,14,G,243
154593,19,1,1,M,Single,12,D,764
182495,29,8,1,F,Single,14,G,407
173214,20,1,1,F,Married,13,G,162
124315,67,49,1,M,Married,7,G,243
189976,46,27,1,M,Married,7,G,359
109823,57,40,1,M,Married,15,G,315
140529,65,48,1,M,Single,11,G,307
108345,20,1,1,M,Single,15,D,773
197526,67,49,1,M,Single,3,D,593
164235,62,45,1,M,Married,0,G,275
112321,44,27,1,F,Single,10,G,473
140896,17,0,1,M,Single,15,D,877
136526,29,10,1,F,Single,0,D,825
177965,66,49,1,F,Single,6,G,273
154647,22,3,1,F,Single,11,G,221
127564,33,16,1,M,Single,13,G,169
180980,69,48,1,F,Married,0,G,98
173004,39,22,1,M,Married,3,D,680
168613,41,22,1,F,Married,13,G,210
102189,20,2,1,F,Married,8,G,354
190883,68,49,1,F,Married,9,G,156
162323,31,12,1,M,Married,4,D,671
124254,30,13,1,M,Single,1,G,447
168484,64,47,1,M,Married,5,G,109
184955,68,47,1,F,Married,7,G,120
188699,49,30,1,M,Single,10,G,455
152298,23,4,1,M,Single,10,D,846
137739,50,32,1,M,Single,13,G,274
102090,39,18,1,F,Single,3,D,791
164014,35,14,1,F,Single,6,G,355
140277,38,20,1,M,Married,1,D,523
183688,66,47,1,M,Single,0,G,347
189679,58,39,1,F,Single,2,G,382
139993,25,6,1,M,Single,12,D,748
101061,45,26,1,M,Married,9,G,391
163029,48,29,1,M,Married,12,G,330
196673,18,1,1,M,Single,7,D,905
154414,40,19,1,F,Single,9,G,387
152345,17,0,1,M,Married,11,G,482
159755,32,12,1,M,Married,15,G,178
196090,25,6,1,M,Married,9,D,597
124743,56,36,1,M,Single,9,G,449
160933,67,47,1,F,Married,4,G,219
170212,60,41,1,F,Married,8,G,228
174318,60,41,1,F,Single,2,D,720
182975,16,0,1,M,Single,8,D,951
127853,42,21,1,M,Single,11,G,369
101368,20,1,1,F,Married,14,G,191
168719,40,19,1,M,Single,8,D,503
131825,16,0,1,M,Married,15,G,265
198279,70,51,1,M,Single,7,G,342
118353,20,3,1,F,Married,15,G,205
164749,28,9,1,M,Single,5,D,707
180133,28,10,1,F,Single,3,D,865
174077,20,2,1,F,Married,9,G,435
155060,22,3,1,M,Single,4,D,1096
150870,20,2,1,M,Married,12,G,373
180138,64,47,1,M,Married,11,G,48
185934,44,25,1,F,Single,13,G,447
153908,17,0,1,M,Single,12,D,665
169358,22,4,1,M,Married,14,G,317
153822,61,40,1,M,Single,5,G,389
140129,22,4,1,F,Single,13,G,406
122434,60,42,1,F,Single,12,G,46
149010,17,0,1,M,Married,14,G,355
151476,17,0,1,F,Single,11,G,297
106521,63,43,1,F,Single,4,G,217
168963,41,20,1,M,Married,6,G,376
115414,65,48,1,M,Single,15,G,26
164992,26,7,1,F,Married,5,D,606
133639,59,42,1,M,Single,11,G,351
122437,66,45,1,F,Married,12,G,16
137595,29,8,1,M,Single,5,D,739
187253,21,2,1,F,Married,13,G,183
156504,21,3,1,M,Married,13,G,311
162843,64,46,1,F,Married,11,G,260
115549,36,17,1,F,Married,7,G,322
135122,46,27,1,M,Single,10,D,596
160917,60,42,1,M,Married,13,G,162
185458,25,8,1,M,Married,15,D,525
160510,47,30,1,F,Married,6,G,330
140871,24,6,1,M,Single,13,G,414
176448,40,23,1,M,Married,1,D,593
198278,21,2,1,F,Single,14,G,412
172292,35,16,1,F,Single,7,G,395
193942,70,53,1,F,Married,8,G,59
171408,48,27,1,M,Single,0,D,575
191865,62,44,1,F,Single,2,G,85
195418,50,29,1,M,Single,8,D,552
128036,67,50,1,M,Single,6,G,78
199870,54,34,1,M,Married,9,G,314
147315,25,8,1,M,Single,5,D,3500
190621,16,0,1,M,Single,15,G,3250
142474,66,48,1,M,Single,10,G,2850
194236,63,43,1,F,Single,10,G,2535
185366,52,34,1,M,Married,5,D,2852
142085,25,7,1,F,Married,11,G,2879
114164,38,20,1,F,Married,3,D,2814
164185,25,6,1,F,Single,8,D,2879
103178,50,32,1,F,Single,15,G,3462
140879,35,15,1,M,Single,9,G,3333
174443,64,45,1,F,Single,13,G,3227
121044,68,49,1,F,Married,2,G,235
185091,63,45,1,F,Married,3,G,61
104797,24,7,1,M,Single,9,D,751
136204,58,38,1,F,Married,10,G,315
112619,17,0,1,M,Single,8,D,1197
178782,16,0,1,F,Single,12,D,611
130506,20,1,1,M,Single,13,D,868
107433,58,38,1,F,Married,14,G,284
122086,50,33,1,M,Married,11,G,143
120837,58,37,1,M,Single,9,G,443
119860,23,5,1,M,Single,15,D,1087
100079,20,3,1,M,Married,1,D,682
107878,52,35,1,M,Married,15,G,269
111243,36,16,1,M,Married,0,G,430
141643,37,16,1,F,Single,13,G,218
121584,61,40,1,F,Married,9,G,288
183067,29,11,1,F,Married,0,G,387
184637,21,2,1,F,Single,15,G,233
129471,22,4,1,F,Married,15,G,296
181752,31,13,1,F,Single,9,G,382
145728,60,42,1,M,Single,0,G,98
138354,44,25,1,F,Single,3,G,427
149411,16,0,1,M,Single,13,D,535
155379,18,1,1,F,Married,15,G,323
189763,66,47,1,M,Married,5,G,313
115565,70,52,1,F,Married,12,G,29
179862,19,0,1,M,Married,11,G,414
156612,49,30,1,M,Single,9,G,397
160282,18,0,1,M,Single,12,D,550
181059,24,5,1,F,Single,2,D,768
146711,66,46,1,F,Single,4,G,430
198926,70,49,1,F,Single,13,G,58
108827,25,7,1,F,Single,7,G,423
165557,26,8,1,M,Single,15,G,299
192032,23,6,1,M,Single,12,G,376
167570,35,18,1,F,Single,9,G,429
172196,25,6,1,M,Single,12,D,620
104695,65,46,1,F,Single,6,G,357
109581,70,50,1,F,Single,14,G,37
125470,26,5,1,M,Single,2,D,514
146889,43,22,1,M,Single,8,G,383
183736,18,1,1,M,Married,10,D,776
188360,39,18,1,M,Single,5,D,688
137629,20,2,1,M,Married,13,G,250
123394,34,13,1,F,Married,12,G,151
111554,69,50,1,F,Single,7,G,97
164809,70,53,1,F,Single,10,G,156
125588,25,7,1,M,Single,7,D,1036
110830,22,5,1,F,Single,10,G,466
130427,57,38,1,F,Married,4,D,597
116082,51,31,1,M,Married,0,D,515
146750,19,0,1,F,Married,12,D,541
101703,64,45,1,F,Married,4,G,35
165002,62,42,1,F,Single,10,G,93
133073,22,5,1,M,Single,14,D,655
199193,46,27,1,M,Single,3,D,771
169904,56,36,1,M,Single,7,D,555
164381,19,2,1,M,Married,12,G,289
101325,25,8,1,F,Married,15,G,320
125818,61,42,1,F,Single,8,G,380
150975,35,17,1,M,Single,10,G,403
136723,64,46,1,M,Single,7,G,217
115009,41,22,1,F,Single,13,G,275
183198,66,46,1,M,Single,1,D,796
118167,62,43,1,M,Single,6,G,56
181893,46,28,1,F,Single,5,D,713
193579,29,10,1,M,Married,12,G,141
134526,65,44,1,M,Single,14,G,291
162909,60,39,1,M,Married,1,G,203
160490,41,22,1,M,Married,4,D,517
100366,46,26,1,F,Married,12,G,202
139754,41,24,1,F,Single,10,G,428
159663,24,6,1,F,Single,11,D,516
153203,62,42,1,F,Married,14,G,257
109485,36,15,1,F,Married,2,G,376
159668,24,6,1,M,Single,12,D,1070
148260,49,28,1,M,Married,13,G,371
180191,20,3,1,F,Single,14,G,266
180237,52,31,1,F,Married,10,G,312
139893,21,4,1,F,Single,15,G,430
155317,58,39,1,M,Single,0,D,818
102276,36,17,1,F,Married,13,G,320
115581,18,0,1,F,Married,13,G,183
156261,21,3,1,F,Single,14,D,565
192333,60,43,1,F,Married,6,G,110
111841,63,44,1,F,Single,4,G,466
174729,64,45,1,M,Single,11,G,173
179628,22,5,1,M,Married,12,G,361
154549,22,3,1,F,Married,1,D,837
181334,26,5,1,F,Married,11,G,129
165949,19,0,1,F,Single,9,G,485
190391,28,9,1,M,Married,2,G,488
115290,24,5,1,M,Married,0,D,990
100313,60,39,1,F,Single,10,G,166
151108,20,2,1,F,Married,11,G,167
149292,43,25,1,M,Married,0,D,693
158875,23,4,1,M,Married,14,D,513
191995,48,27,1,M,Married,5,D,629
129391,40,23,1,M,Single,6,G,438
136475,64,44,1,M,Single,10,G,244
123896,23,6,1,M,Married,6,G,479
187193,38,21,1,M,Married,9,G,321
193212,19,0,1,M,Married,7,G,328
108450,62,42,1,M,Married,10,G,387
169347,23,4,1,M,Married,15,G,235
164942,34,13,1,F,Married,2,G,396
141819,64,47,1,M,Single,14,G,66
111740,63,42,1,M,Single,7,G,296
193972,28,11,1,F,Married,14,G,159
125668,16,0,1,M,Married,12,G,477
161764,29,11,1,F,Single,0,D,509
154044,17,0,1,F,Married,15,G,352
